candidate,constituency,party,criminal_cases,education,total_assets,liabilities
Abdul Hai Mallik,ONDA,IND,0,8th Pass,160171,0
Abdur Razzak Molla,FALTA,INC,2,10th Pass,2650450,0
Abhijit Bhattacharya,PURULIA,IND,0,Post Graduate,4439532,375000
Abir Chandra Mandal,CHHATNA,IND,0,Graduate Professional,809000,0
Adhikari Suvendu,NANDIGRAM,BJP,1,Post Graduate,10552749,0
Adhikary Nilanjan,NANDAKUMAR,BJP,0,Post Graduate,7793230,0
Aditya Kumar Bauri,SALTORA (SC),Bahujan Mukti Party,0,12th Pass,20000,0
Aditya Mahato,PURULIA,IND,0,8th Pass,9060000,0
Aditya Manik,KHANAKUL,IND,0,5th Pass,104958,0
Agniswar Naskar,BISHNUPUR (SC),BJP,1,Graduate,7424649,6814277
Ahammad Sardar,MAGRAHAT PASCHIM,SUCI(C),0,12th Pass,1562000,28000
Ajay Haldar,CANNING PURBA,IND,0,8th Pass,8706,0
Ajit Baul,BARUIPUR PASCHIM,BSP,0,8th Pass,1158521,108000
Ajit Maity,PINGLA,AITC,1,12th Pass,8575000,0
Ajit Ray,SONAMUKHI (SC),CPI(M),0,10th Pass,926792,0
Akhil Giri,RAMNAGAR,AITC,1,12th Pass,7091258,0
Akshay Khan,CHANDRAKONA (SC),SUCI(C),0,Graduate Professional,9789710,0
Akshay Santra,KATULPUR (SC),INC,0,Graduate,175000,0
Akshaya Kumar Mahata,SALBONI,Amra Bangalee,0,Post Graduate,57000,0
Alok Mukherjee,BARJORA,AITC,0,10th Pass,1992033,0
Aloke Jaldata,RAIDIGHI,AITC,1,Graduate Professional,33522682,7483333
Aloke Koley,UDAYNARAYANPUR,INC,0,Graduate,3642000,127000
Amal Kumar Barman,ULUBERIA DAKSHIN,IND,0,10th Pass,2358777,0
Amarnath Shakha,ONDA,BJP,6,10th Pass,6581000,100000
Ambujaksha Mahanti,PATASHPUR,BJP,0,Graduate Professional,107021114,0
Amitabha Chakraborti,SHYAMPUR,INC,2,Post Graduate,5999167,0
Amitav Naskar,JAYNAGAR (SC),RPI(A),0,Post Graduate,1220000,0
Amulya Maity,SABANG,BJP,1,Graduate,4047204,0
Ananda Kundu,BARUIPUR PASCHIM,IND,0,Illiterate,30026,0
